user_id,email,phone_number,full_name,display_name,password_hash,auth_provider,date_of_birth,gender,profile_picture_url,language_preference,birth_date,birth_time,birth_location,birth_timezone,birth_latitude,birth_longitude,preferred_astrology_system,notification_preferences,subscription_type,subscription_start_date,subscription_end_date,account_status,email_verified,phone_verified,created_at,updated_at,last_login_at,metadata
user_6aef8323193a,,,Test User,Test,,email,,,,hi,,,,,,,vedic,"{'daily': True, 'weekly': True, 'transits': True}",free,,,active,False,False,2025-10-11 13:47:53.734324,2025-10-11 13:47:53.734324,,"{'gender': None, 'place_of_birth': 'Mumbai, Maharashtra'}"
user_eafee30a1506,,+919123456789,Nikhil Kumar,Nikhil,,email,,,,hi,,,,,,,vedic,"{'daily': True, 'weekly': True, 'transits': True}",free,,,active,False,False,2025-10-11 13:57:21.704467,2025-10-11 13:57:21.704467,,"{'gender': 'Male', 'place_of_birth': 'Delhi, India'}"
user_2da893402c34,,+919123456789,Nikhil Kumar,Nikhil,,email,,,,hi,,,,,,,vedic,"{'daily': True, 'weekly': True, 'transits': True}",free,,,active,False,False,2025-10-11 14:00:06.558904,2025-10-11 14:00:06.558904,,"{'gender': 'Male', 'place_of_birth': 'Delhi, India'}"
user_d7faa0bdb356,,+919999999999,ubeurbvue,ubeurbvue,,email,,,,hi,,,,,,,vedic,"{'daily': True, 'weekly': True, 'transits': True}",free,,,active,False,False,2025-10-11 14:54:52.278526,2025-10-11 14:54:52.278526,,"{'gender': 'Male', 'place_of_birth': 'bellandur'}"
test_user_demo,,+1234567890,Test User,,,email,,male,,hi,1990-01-01,12:00:00,"Mumbai, India",,,,vedic,"{'daily': True, 'weekly': True, 'transits': True}",free,,,active,False,False,2025-10-15 15:07:58.606860,2025-10-15 15:07:58.606860,,{}
user_test_123,,+919999999999,Test User,Test,,email,,,,hi,,,,,,,vedic,"{'daily': True, 'weekly': True, 'transits': True}",free,,,active,False,False,2025-10-18 14:05:27.460336,2025-10-18 14:05:27.460336,,"{'registration_source': 'mobile_app', 'onboarding_completed': True}"
user_test_success,,+919999999444,Test User Success,TestSuccess,,email,,,,hi,,,,,,,vedic,"{'daily': True, 'weekly': True, 'transits': True}",free,,,active,False,False,2025-10-18 14:06:20.519454,2025-10-18 14:06:20.519454,,"{'registration_source': 'mobile_app', 'onboarding_completed': True}"
user_919999999999,,+919999999999,Test,bcreurbvruvr,,email,,,,hi,,,,,,,vedic,"{'daily': True, 'weekly': True, 'transits': True}",free,,,active,False,False,2025-10-14 15:03:57.538067,2025-10-18 14:11:01.961647,,"{'registration_source': 'mobile_app', 'onboarding_completed': True}"
user_birth_test,,+919999999333,Birth Test User,BirthTest,,email,,,,hi,,,,,,,vedic,"{'daily': True, 'weekly': True, 'transits': True}",free,,,active,False,False,2025-10-18 14:13:33.524746,2025-10-18 14:13:33.524746,,"{'registration_source': 'mobile_app', 'onboarding_completed': True}"
user_direct_test,,+919999999111,Direct Test User,DirectTest,,email,,Male,,hi,1990-12-25,15:45:00,"Delhi, India",,,,vedic,"{'daily': True, 'weekly': True, 'transits': True}",free,,,active,False,False,2025-10-18 14:13:54.323253,2025-10-18 14:13:54.323253,,"{'registration_source': 'mobile_app', 'onboarding_completed': True}"
user_final_test,,+919999999000,Final Test User,FinalTest,,email,,Female,,hi,1988-05-10,08:15:00,"Bangalore, India",,,,vedic,"{'daily': True, 'weekly': True, 'transits': True}",free,,,active,False,False,2025-10-18 14:14:11.379739,2025-10-18 14:14:11.379739,,"{'registration_source': 'mobile_app', 'onboarding_completed': True}"
user_2fbeb926d9bb,,+919999999888,UUID Test User,UUIDTest,,email,,Male,,hi,1992-03-20,11:30:00,"Chennai, India",,,,vedic,"{'daily': True, 'weekly': True, 'transits': True}",free,,,active,False,False,2025-10-18 14:16:46.062489,2025-10-18 14:16:46.062489,,"{'registration_source': 'mobile_app', 'onboarding_completed': True}"
user_addd6462bcb2,,+919999999777,UUID Test User 2,UUIDTest2,,email,,Female,,hi,1985-12-05,21:45:00,"Kolkata, India",,,,vedic,"{'daily': True, 'weekly': True, 'transits': True}",free,,,active,False,False,2025-10-18 14:16:48.686127,2025-10-18 14:16:48.686127,,"{'registration_source': 'mobile_app', 'onboarding_completed': True}"
user_5fcca040ff4e,,user_919999999999,frwgtervethbevtbvvbeg,frwgtervethbevtbvvbeg,,email,,Female,,hi,2000-01-01,12:10:00,"rtbrtbrbrrnb45b4h,34ty3fr3g5v",,,,vedic,"{'daily': True, 'weekly': True, 'transits': True}",free,,,active,False,False,2025-10-18 15:06:13.205010,2025-10-18 15:06:13.205010,,"{'registration_source': 'mobile_app', 'onboarding_completed': True}"
